time,open,high,low,close,Sell,Buy,ATR,RSI
2022-07-01T15:30:00+03:00,19220,19322,19211.5,19308,0,0,19698.082353291724,46.32682254583196
2022-07-01T15:45:00+03:00,19308,19336,19251,19272,0,0,19669.989810318624,44.317421965417125
2022-07-01T16:00:00+03:00,19272,19368,19245,19302.5,0,0,19630.99999307237,46.43714795707291
2022-07-01T16:15:00+03:00,19302.5,19387.5,19287.5,19287.5,0,0,19618.993175692638,45.51938012179499
2022-07-01T16:30:00+03:00,19287.5,19494.5,19180.5,19445.5,0,0,19606.507420695263,55.49662728715958
2022-07-01T16:45:00+03:00,19445.5,19670,19425.5,19448.5,0,0,19596.6365027679,55.662657528945296
2022-07-01T17:00:00+03:00,19448.5,19519,19307,19340,0,0,19585.125797733243,48.60063092992099
2022-07-01T17:15:00+03:00,19340,19420,19308,19320,0,0,19579.561703265485,47.406670838900034
2022-07-01T17:30:00+03:00,19320,19400,19271,19376.5,0,0,19569.701360618157,51.06412112126333
2022-07-01T17:45:00+03:00,19376.5,19454.5,19357,19396.5,0,0,19561.992031171394,52.3279203838804
2022-07-01T18:00:00+03:00,19396.5,19450.5,19304,19405,0,0,19556.70034478017,52.884830461402665
2022-07-01T18:15:00+03:00,19405,19472.5,19365.5,19386.5,0,0,19550.243107048693,51.47535406453437
2022-07-01T18:30:00+03:00,19386.5,19428.5,19344.5,19372.5,0,0,19540.93011021726,50.38105768470088
2022-07-01T18:45:00+03:00,19372.5,19380,19201,19282.5,0,0,19533.065243672252,43.917490166110206
2022-07-01T19:00:00+03:00,19282.5,19340,19240,19318.5,0,0,19527.5242491763,46.85456908796655
2022-07-01T19:15:00+03:00,19318.5,19430,19304.5,19395,0,0,19518.885718732174,52.54229342938887
2022-07-01T19:30:00+03:00,19395,19423.5,19339.5,19360,0,0,19514.937264760378,49.91047684737314
2022-07-01T19:45:00+03:00,19360,19462.5,19322,19333,0,0,19513.239305946794,47.9165353800362
2022-07-01T20:00:00+03:00,19333,19400,19312,19400,0,0,19509.897617929535,52.940679199492514
2022-07-01T20:15:00+03:00,19400,19430,19353,19384.5,0,0,19509.58263139523,51.69822773866861
2022-07-01T20:30:00+03:00,19384.5,19537,19345,19450.5,0,0,19509.956996169778,56.391326752080424
2022-07-01T20:45:00+03:00,19450.5,19495.5,19437,19474,0,0,19509.008750580168,57.95768772824132
2022-07-01T21:00:00+03:00,19474,19495,19440.5,19467.5,0,0,19508.581697940885,57.344154187260244
2022-07-01T21:15:00+03:00,19467.5,19544.5,19445,19476,0,0,19508.517541306384,57.97072393366208
2022-07-01T21:30:00+03:00,19476,19530,19448.5,19463,0,0,19508.57118198712,56.601335510747276
2022-07-01T21:45:00+03:00,19463,19486,19371.5,19426,0,0,19508.551993868758,52.7798752919372
2022-07-01T22:00:00+03:00,19426,19428,19373,19390,0,0,19508.29953391204,49.292722850282615
2022-07-01T22:15:00+03:00,19390,19403.5,19260.5,19300.5,0,0,19507.676928128698,41.88381745388011
2022-07-01T22:30:00+03:00,19300.5,19352,19269,19314.5,0,0,19507.314576598685,43.3189719089977
2022-07-01T22:45:00+03:00,19314.5,19381.5,19314,19378.5,0,0,19506.030765110696,49.462930005358444
2022-07-01T23:00:00+03:00,19378.5,19484.5,19335.5,19429.5,0,0,19503.838877575086,53.76390175006815
2022-07-01T23:15:00+03:00,19429.5,19693.5,19413,19581,0,0,19505.538011658184,63.6582914532272
